order_id,order_date,customer_name,product_id,product_name,price,quantity,discount,profit,ship_date,payment_method
ORD1000,2023-01-18,Sneha Yadav,P100,Monitor,497.53,6,0.13,638.9,2023-01-25,Debit Card
ORD1001,2023-05-04,Shreya Rana,P101,Headphones,289.27,5,0.05,368.81,2023-05-11,Cash
ORD1002,2023-08-14,Priya Gupta,P102,Headphones,780.76,7,0.2,700.24,2023-08-23,Debit Card
ORD1003,2023-09-24,Priya Singh,P103,Headphones,364.47,3,0.21,248.21,2023-09-27,Credit Card
ORD1004,2023-04-26,Kabir Rana,P104,Printer,456.09,3,0.14,203.31,2023-05-01,Credit Card
ORD1005,2023-05-03,Tanya Pandey,P105,Mouse,589.03,1,0.2,105.85,2023-05-09,Credit Card
ORD1006,2023-06-19,Priya Gupta,P106,Phone,158.27,5,0.16,188.1,2023-06-21,UPI
ORD1007,2023-08-25,Avni Chopra,P107,Router,371.57,3,0.24,215.36,2023-08-31,Debit Card
ORD1008,2023-06-13,Myra Rana,P108,Headphones,646.42,2,0.21,202.12,2023-06-22,Cash
ORD1009,2023-02-26,Saanvi Iyer,P109,Router,442.03,6,0.25,456.7,2023-03-03,Credit Card
ORD1010,2023-01-02,Nisha Bose,P110,Router,498.25,3,0.04,238.12,2023-01-07,Cash
ORD1011,2023-01-15,Nisha Patel,P111,Laptop,102.34,2,0.11,21.41,2023-01-24,UPI
ORD1012,2023-07-29,Ananya Pandey,P112,Printer,583.13,6,0.07,433.88,2023-08-08,Debit Card
ORD1013,2023-06-20,Ayaan Rana,P113,Monitor,404.86,5,0.2,237.86,2023-06-30,Debit Card
ORD1014,2023-07-18,Aditya Bose,P114,Monitor,523.38,6,0.22,333.02,2023-07-21,Debit Card
ORD1015,2023-01-20,Myra Chopra,P115,Camera,844.17,3,0.21,200.85,2023-01-22,UPI
ORD1016,2023-05-07,Kavya Das,P116,Laptop,617.12,3,0.27,224.63,2023-05-17,Credit Card
ORD1017,2023-02-25,Aarohi Patel,P117,Router,481.02,9,0.01,1050.37,2023-03-01,Cash
ORD1018,2023-09-17,Kiara Pillai,P118,Mouse,394.97,8,0.28,351.33,2023-09-21,Net Banking
ORD1019,2023-06-05,Aadhya Sharma,P119,Router,168.53,6,0.14,200.13,2023-06-11,Debit Card
ORD1020,2023-04-26,Kabir Yadav,P120,Mouse,446.7,6,0.26,369.19,2023-04-29,Cash
ORD1021,2023-07-04,Ishaan Sharma,P121,Tablet,176.78,4,0.07,160.78,2023-07-06,Credit Card
ORD1022,2023-05-15,Aditya Iyer,P122,Headphones,963.32,7,0.14,1739.21,2023-05-19,Net Banking
ORD1023,2023-08-16,Tanya Nair,P123,Headphones,507.15,2,0.25,184.98,2023-08-24,Net Banking
ORD1024,2023-09-15,Simran Nair,P124,Printer,708.4,9,0.18,1557.38,2023-09-19,Cash
ORD1025,2023-01-21,Aditya Kaur,P125,Printer,823.27,1,0.06,173.13,2023-01-28,Debit Card
ORD1026,2023-09-05,Aadhya Reddy,P126,Camera,117.89,5,0.08,118.28,2023-09-14,Credit Card
ORD1027,2023-07-29,Reyansh Ghosh,P127,Phone,878.79,6,0.1,995.77,2023-07-31,Cash
ORD1028,2023-05-21,Aarohi Mehta,P128,Mouse,937.67,1,0.11,226.61,2023-05-31,Net Banking
ORD1029,2023-06-23,Avni Singh,P129,Monitor,132.76,6,0.06,151.8,2023-07-01,UPI
ORD1030,2023-10-06,Simran Gupta,P130,Monitor,613.8,1,0.11,135.85,2023-10-14,UPI
ORD1031,2023-05-01,Sneha Verma,P131,Printer,686.34,6,0.23,921.01,2023-05-10,Debit Card
ORD1032,2023-05-01,Myra Bose,P132,Printer,484.31,7,0.01,579.42,2023-05-10,Net Banking
ORD1033,2023-09-25,Vivaan Verma,P133,Phone,510.37,9,0.14,488.14,2023-09-30,Cash
