order_id,order_date,customer_name,product_id,product_name,price,quantity,discount,profit,ship_date,payment_method,category,subcategory,city,region
ORD1000,2023-06-27,Aditya Gupta,P100,Phone,107.88,9,0.3,121.46,2023-06-30,Debit Card,Technology,Phones,Bangalore,South
ORD1001,2023-10-15,Ira Rana,P101,Headphones,772.58,5,0.3,553.23,2023-10-20,Credit Card,Office Supplies,Art,Mumbai,South
ORD1002,2023-02-09,Vivaan Rana,P102,Headphones,193.63,5,0.11,185.02,2023-02-19,Net Banking,Technology,Storage,Ahmedabad,South
ORD1003,2023-05-19,Diya Verma,P103,Headphones,186.78,5,0.07,237.26,2023-05-29,Credit Card,Furniture,Chairs,Hyderabad,North
ORD1004,2023-09-04,Arjun Kaur,P104,Tablet,869.01,8,0.08,980.83,2023-09-13,Debit Card,Furniture,Bookcases,Bangalore,East
ORD1005,2023-10-02,Meera Iyer,P105,Printer,904.03,7,0.24,577.15,2023-10-05,Net Banking,Technology,Phones,Mumbai,North
ORD1006,2023-07-19,Aadhya Patel,P106,Headphones,720.57,5,0.07,383.96,2023-07-29,Cash,Office Supplies,Art,Ahmedabad,East
ORD1007,2023-05-13,Arjun Chopra,P107,Monitor,542.84,6,0.17,776.17,2023-05-22,UPI,Office Supplies,Labels,Chennai,East
ORD1008,2023-03-21,Rohan Mehta,P108,Monitor,906.7,2,0.25,251.62,2023-03-31,Cash,Furniture,Furnishings,Bangalore,East
ORD1009,2023-09-10,Sneha Kaur,P109,Phone,692.89,2,0.12,124.1,2023-09-12,Debit Card,Office Supplies,Labels,Pune,South
ORD1010,2023-01-23,Kiara Rana,P110,Laptop,910.67,2,0.12,359.6,2023-01-28,Net Banking,Technology,Networking,Delhi,South
ORD1011,2023-10-05,Krishna Chopra,P111,Printer,829.02,8,0.26,1036.47,2023-10-07,Net Banking,Office Supplies,Labels,Ahmedabad,East
ORD1012,2023-03-10,Ishaan Jain,P112,Printer,969.47,6,0.05,1231.44,2023-03-16,Credit Card,Technology,Computers,Kolkata,North
ORD1013,2023-07-18,Aadhya Gupta,P113,Keyboard,186.37,5,0.26,201.02,2023-07-26,Debit Card,Technology,Computers,Mumbai,West
ORD1014,2023-05-26,Krishna Yadav,P114,Tablet,954.65,4,0.09,750.37,2023-06-04,Credit Card,Technology,Phones,Lucknow,East
ORD1015,2023-05-05,Aisha Jain,P115,Camera,620.23,5,0.02,795.19,2023-05-14,UPI,Furniture,Furnishings,Chennai,South
ORD1016,2023-04-03,Meera Mehta,P116,Headphones,301.35,6,0.15,349.02,2023-04-13,UPI,Furniture,Bookcases,Ahmedabad,South
ORD1017,2023-04-21,Ananya Gupta,P117,Laptop,107.25,6,0.3,115.39,2023-04-27,Debit Card,Office Supplies,Pens,Chennai,North
ORD1018,2023-04-28,Kavya Pandey,P118,Camera,224.19,9,0.08,399.78,2023-05-03,Cash,Technology,Accessories,Delhi,North
ORD1019,2023-08-14,Priya Mehta,P119,Laptop,722.85,7,0.28,846.14,2023-08-20,Debit Card,Furniture,Chairs,Jaipur,West
ORD1020,2023-05-12,Shreya Ghosh,P120,Printer,603.12,2,0.03,307.78,2023-05-21,UPI,Technology,Networking,Ahmedabad,West
ORD1021,2023-02-07,Diya Mehta,P121,Keyboard,810.58,3,0.22,368.29,2023-02-12,Debit Card,Office Supplies,Binders,Jaipur,North
ORD1022,2023-04-12,Riya Rana,P122,Router,164.05,5,0.14,146.32,2023-04-19,Cash,Office Supplies,Binders,Kolkata,East
ORD1023,2023-10-09,Sneha Pandey,P123,Tablet,719.45,2,0.27,182.7,2023-10-18,Net Banking,Technology,Phones,Lucknow,West
ORD1024,2023-08-20,Avni Kaur,P124,Keyboard,242.2,6,0.25,184.86,2023-08-30,Cash,Office Supplies,Paper,Chennai,East
ORD1025,2023-03-29,Ananya Agarwal,P125,Mouse,184.66,2,0.02,69.39,2023-04-02,Credit Card,Office Supplies,Binders,Chennai,North
ORD1026,2023-07-16,Meera Rana,P126,Laptop,493.27,8,0.04,652.44,2023-07-23,Net Banking,Furniture,Tables,Delhi,West
ORD1027,2023-02-11,Arjun Das,P127,Tablet,709.48,3,0.03,498.2,2023-02-13,Cash,Office Supplies,Art,Mumbai,North
ORD1028,2023-09-22,Kabir Das,P128,Laptop,473.99,4,0.02,311.87,2023-09-28,Debit Card,Office Supplies,Art,Lucknow,West
ORD1029,2023-10-12,Riya Gupta,P129,Laptop,740.47,8,0.24,889.43,2023-10-18,Credit Card,Furniture,Chairs,Jaipur,East
ORD1030,2023-01-02,Aditya Reddy,P130,Phone,333.22,6,0.25,155.88,2023-01-11,Net Banking,Office Supplies,Art,Bangalore,West
ORD1031,2023-03-08,Simran Yadav,P131,Tablet,475.4,3,0.05,153.06,2023-03-10,Net Banking,Office Supplies,Binders,Jaipur,East
ORD1032,2023-10-03,Nisha Singh,P132,Headphones,792.63,8,0.23,1051.89,2023-10-11,Cash,Furniture,Bookcases,Ahmedabad,South
ORD1033,2023-01-08,Tanya Ghosh,P133,Headphones,432.08,7,0.07,832.46,2023-01-13,Net Banking,Technology,Computers,Mumbai,West
ORD1034,2023-04-08,Kabir Pillai,P134,Laptop,387.72,8,0.21,321.11,2023-04-13,Cash,Furniture,Tables,Bangalore,North
ORD1035,2023-01-24,Priya Yadav,P135,Phone,127.66,5,0.13,108.6,2023-01-29,Debit Card,Office Supplies,Art,Kolkata,West
ORD1036,2023-02-18,Aadhya Verma,P136,Laptop,611.62,7,0.15,1001.75,2023-02-24,UPI,Furniture,Tables,Kolkata,East
ORD1037,2023-09-28,Aarohi Chopra,P137,Tablet,998.23,3,0.04,311.99,2023-10-05,Credit Card,Technology,Phones,Jaipur,South
ORD1038,2023-07-31,Saanvi Reddy,P138,Camera,591.44,1,0.02,70.67,2023-08-02,Cash,Office Supplies,Binders,Mumbai,West
ORD1039,2023-04-23,Nisha Iyer,P139,Phone,247.75,6,0.02,326.22,2023-04-30,Cash,Furniture,Bookcases,Bangalore,North
ORD1040,2023-07-02,Reyansh Patel,P140,Keyboard,785.31,3,0.23,215.3,2023-07-10,Cash,Technology,Storage,Hyderabad,East
ORD1041,2023-09-29,Anika Pandey,P141,Laptop,182.37,4,0.01,111.39,2023-10-03,UPI,Technology,Accessories,Mumbai,East
